,doi,TC,RTC,CPR,RCPR,PR,RPR,MSC,RMSC
0,10.1073/pnas.0507655102,156,1,0.46339193,1,19.44538598,1,202,1
1,10.1007/s11192-006-0144-7,59,4,0.295946807,2,8.195255176,2,68,5
2,10.1016/j.joi.2010.08.001,57,5,0.274238646,3,7.021852828,3,69,4
3,10.1073/pnas.0806977105,62,3,0.265023977,4,6.148095442,4,83,2
4,10.1002/asi.22748,39,13.5,0.256781608,5,4.89158257,8,57,8
5,10.1038/520429a,46,7,0.237492904,6,4.713198865,9,59,6
6,10.1002/asi.22708,37,15,0.233285174,7,5.537016479,7,49,13
7,10.1007/s11192-012-0775-9,34,18,0.227147967,8,4.152432433,19,46,16
8,10.1088/1742-5468/2008/10/P10008,28,33,0.224534288,9,3.434763082,40,33,34.5
9,10.1007/s11192-006-0143-8,21,69,0.221178889,10,4.419162922,12,27,57.5
10,10.1016/j.joi.2016.02.007,69,2,0.220225468,11,5.921320017,5,78,3
11,10.1126/science.1237825,40,12,0.218754336,12,4.064635591,23,55,10
12,10.1016/j.mathsocsci.2008.03.001,14,168.5,0.217266709,13,3.517366613,37,21,108
13,10.1002/asi.21460,25,46,0.216714844,14,4.195682363,16,25,72.5
14,10.1108/00220410810844150,50,6,0.213247806,15,5.576427759,6,57,8
15,10.1016/j.joi.2015.08.001,33,20.5,0.212289602,16,3.987017054,27,38,23.5
16,10.1137/070710111,29,28.5,0.211770251,17,3.563811761,33,35,31.5
17,10.1002/asi.4630270505,39,13.5,0.210223973,18,4.31970753,14,47,15
18,10.1371/journal.pone.0004021,15,142.5,0.209546193,19,2.57182558,129,25,72.5
19,10.1016/j.joi.2006.06.001,26,41,0.20802258,20,3.506947061,38,43,17
20,10.1016/j.joi.2013.08.006,29,28.5,0.207447648,21,3.582306375,32,39,21
21,10.1126/science.159.3810.56,43,10,0.207241833,22,4.290923643,15,48,14
22,10.1126/science.149.3683.510,45,8.5,0.204491332,23,4.35607339,13,57,8
23,10.1002/asi.21678,19,86,0.203878567,24,4.090119731,22,27,57.5
24,10.1007/s11192-011-0407-9,23,56,0.203375041,25,3.549785788,35,30,45.5
25,10.1007/s11434-007-0145-9,27,36.5,0.202889889,26,4.124285818,21,32,37
26,10.1016/j.joi.2013.09.003,13,199.5,0.202736974,27,2.952757312,70,20,122
27,10.1016/j.joi.2010.01.002,34,18,0.202291638,28,4.458557871,10,40,20
28,10.1002/asi.22775,23,56,0.202118188,29,3.306592363,48,28,51.5
29,10.1126/science.286.5439.509,34,18,0.201150909,30,3.551183062,34,42,18
30,10.1007/s11192-011-0354-5,28,33,0.200266838,31,3.353820559,43,35,31.5
31,10.1002/(SICI)1097-4571(199210)43:9<628::AID-ASI5>3.0.CO;2-0,35,16,0.199635804,32,4.178665962,18,38,23.5
32,10.1016/j.joi.2012.10.001,32,23,0.198459625,33,4.454285857,11,36,28.5
33,10.1016/j.joi.2008.09.001,7,563,0.19649525,34,2.576820097,128,10,428
34,10.1126/science.1136099,45,8.5,0.196238324,35,3.993842875,25,54,11
35,10.1007/s11192-014-1269-8,22,62,0.195670307,36,3.091785929,59,31,41
36,10.1016/j.joi.2006.09.007,29,28.5,0.195092201,37,3.993805226,26,31,41
37,10.1016/j.joi.2013.06.001,14,168.5,0.194603235,38,2.647052532,117,21,108
38,10.1016/j.joi.2008.09.004,13,199.5,0.194559097,39,3.424160276,41,19,138.5
39,10.1073/pnas.98.2.404,28,33,0.19386673,40,3.277958381,50,36,28.5
40,10.1061/taceat.0002563,10,310,0.19382824,41,2.932899093,71,14,241.5
41,10.1007/s11192-012-0661-5,3,1999.5,0.193808913,42,1.974750058,396,5,1268.5
42,10.1016/j.joi.2014.11.010,24,50,0.193692386,43,3.33386776,45,28,51.5
43,10.1007/s11192-009-0129-4,13,199.5,0.193521619,44,2.403803231,168,20,122
44,10.1002/asi.21419,30,25.5,0.192183673,45,3.311552541,47,38,23.5
45,10.1016/S0169-7552(98)00110-X,23,56,0.192032069,46,3.089729313,60,33,34.5
46,10.1016/j.joi.2012.08.005,13,199.5,0.191725776,47,2.769651657,92,17,167
47,10.1007/s11192-011-0426-6,14,168.5,0.191518381,48,2.842251672,81,15,215
48,10.1016/j.joi.2014.09.011,22,62,0.191078737,49,2.721858057,99,26,64.5
49,10.1371/journal.pone.0064841,32,23,0.190732166,50,3.521082158,36,37,26.5
50,10.1002/asi.20880,21,69,0.190342546,51,3.136564946,57,27,57.5
51,10.1016/j.joi.2011.08.002,20,77.5,0.190334126,52,3.076603285,61,25,72.5
52,10.1145/324133.324140,13,199.5,0.189746425,53,2.659949899,111,18,152.5
53,10.1103/PhysRevE.83.046116,14,168.5,0.189313695,54,2.543934508,138,21,108
54,10.1016/S0048-7333(96)00917-1,42,11,0.189223945,55,3.68555869,29,53,12
55,10.1007/s11192-012-0913-4,18,98.5,0.18884486,56,2.75418649,94,23,89
56,10.1002/asi.21534,21,69,0.188618794,57,3.497199878,39,27,57.5
57,10.1126/science.178.4060.471,32,23,0.188551769,58,4.186821269,17,35,31.5
58,10.1126/science.1240474,28,33,0.187310621,59,2.641527764,118,41,19
59,10.1038/30918,15,142.5,0.18717669,60,2.306958162,200,19,138.5
60,10.1016/j.joi.2006.07.001,9,368,0.187054545,61,2.048795519,340,14,241.5
61,10.1016/j.joi.2008.05.002,5,955.5,0.186515555,62,1.975115744,395,9,507.5
62,10.1136/bmj.314.7079.497,30,25.5,0.186414212,63,3.713089427,28,32,37
63,10.1038/504211a,28,33,0.185839161,64,2.776577533,89,38,23.5
64,10.1001/jama.295.1.90,33,20.5,0.185715899,65,4.148444333,20,37,26.5
65,10.1007/s100510050359,26,41,0.185529456,66,3.277044688,51,30,45.5
66,10.1371/journal.pone.0018029,17,111.5,0.185315728,67,2.556726593,137,24,81
67,10.1002/asi.21371,12,230.5,0.185160965,68,2.651618271,115,17,167
68,10.1016/j.joi.2016.10.005,15,142.5,0.18497473,69,2.240592201,223,25,72.5
69,10.1073/pnas.1424329112,18,98.5,0.1849076,70,2.492926093,151,24,81
70,10.1073/pnas.0707962104,18,98.5,0.184853166,71,2.757236587,93,20,122
71,10.1016/j.joi.2014.08.001,20,77.5,0.184512138,72,2.729729136,97,29,48.5
72,10.1016/j.joi.2013.06.005,9,368,0.18423368,73,1.951845463,422,17,167
73,10.1371/journal.pone.0058727,10,310,0.183606341,74,2.217609774,241,16,190
74,10.1016/j.joi.2010.03.002,26,41,0.18347156,75,3.623314339,30,26,64.5
75,10.1023/B:SCIE.0000027792.09362.3f,9,368,0.1833653,76,2.262167431,215,15,215
76,10.1016/j.joi.2012.11.011,16,125.5,0.182852462,77,2.589681034,127,21,108
77,10.1002/asi.22790,14,168.5,0.182644993,78,2.567582037,131,19,138.5
